Date,Open,High,Low,Close,Volume,Adj Close
2011-03-21,13919.01,14130.41,13812.33,14039.39,193691500,14039.39
2011-03-14,13545.01,13875.70,13430.79,13789.63,286662900,13789.63
2011-03-07,14303.29,14329.49,13477.40,13674.25,219464900,13674.25
2011-02-28,14083.01,14280.62,14053.12,14252.77,237433000,14252.77
2011-02-22,14155.57,14160.70,13810.54,14052.13,251336500,14052.13
2011-02-14,13835.11,14156.37,13776.60,14123.11,216908900,14123.11
2011-02-07,13854.06,13909.84,13692.79,13766.76,215931800,13766.76
2011-01-31,13449.74,13863.13,13438.38,13791.85,235602100,13791.85
2011-01-24,13313.74,13497.55,13192.72,13437.58,228402500,13437.58
2011-01-17,13427.11,13572.32,13238.89,13258.57,253380700,13258.57
2011-01-10,13291.61,13505.44,13139.50,13464.06,244648200,13464.06
2011-01-04,13530.35,13529.98,13233.32,13272.30,216222000,13272.30
2010-12-29,13413.17,13493.64,13382.97,13443.22,95035700,13443.22
2010-12-20,13231.49,13397.29,13193.28,13383.16,124251700,13383.16
2010-12-13,13290.27,13360.11,13094.05,13201.46,260795800,13201.46
2010-12-06,13207.20,13367.60,13132.44,13239.47,217392400,13239.47
2010-11-30,12882.83,13190.70,12883.27,13163.53,284249000,13163.53
2010-11-22,12931.77,12964.00,12780.89,12892.71,157736100,12892.71
2010-11-15,12757.54,12967.47,12501.82,12956.33,196350700,12956.33
2010-11-08,12940.31,13114.05,12661.88,12749.24,246803800,12749.24
2010-11-01,12725.90,13001.16,12569.44,12925.11,225001400,12925.11
2010-10-25,12671.26,12694.52,12504.80,12676.24,188238400,12676.24
2010-10-18,12596.15,12674.09,12518.54,12601.18,185169100,12601.18
2010-10-12,12530.03,12710.19,12479.57,12609.07,212152900,12609.07
2010-10-04,12368.04,12540.95,12262.69,12535.59,204741300,12535.59
2010-09-27,12211.11,12446.85,12123.80,12363.08,216352300,12363.08
2010-09-20,12190.47,12281.36,12055.55,12204.86,203507700,12204.86
2010-09-13,12147.35,12251.47,12081.57,12164.56,243790800,12164.56
2010-09-07,12148.05,12160.70,11997.72,12097.09,184341000,12097.09
2010-08-30,11873.12,12197.89,11845.17,12144.92,203843200,12144.92
2010-08-23,11751.52,11887.81,11469.25,11879.72,185520500,11879.72
2010-08-16,11527.70,11806.46,11493.62,11722.07,176179800,11722.07
2010-08-09,11846.69,11878.36,11480.52,11528.25,181689100,11528.25
2010-08-03,11829.32,11872.89,11700.08,11799.97,208433900,11799.97
2010-07-26,11742.41,11822.68,11603.81,11713.43,171829600,11713.43
2010-07-19,11542.22,11722.64,11446.01,11714.21,168317600,11714.21
2010-07-12,11567.36,11741.80,11497.32,11569.65,178145300,11569.65
2010-07-05,11163.03,11570.45,11065.53,11570.45,194059700,11570.45
2010-06-28,11715.25,11718.90,11146.79,11196.06,181976900,11196.06
2010-06-21,12042.75,12077.01,11619.36,11707.85,159274200,11707.85
2010-06-14,11730.06,12017.92,11652.98,11927.59,210516600,11927.59
2010-06-07,11570.37,11693.69,11402.45,11666.92,193676000,11666.92
2010-05-31,11765.45,11842.29,11548.93,11569.61,204815700,11569.61
2010-05-25,11270.73,11755.09,11263.16,11749.12,261660700,11749.12
2010-05-17,11999.83,12014.97,11179.97,11521.35,243900000,11521.35
2010-05-10,12011.82,12210.39,11692.43,12014.97,222924800,12014.97
2010-05-03,12273.98,12294.63,11422.73,11692.43,273389300,11692.43
2010-04-26,12254.22,12321.76,12075.79,12210.70,214043700,12210.70
2010-04-19,11974.71,12248.41,11953.95,12239.64,188190600,12239.64
2010-04-12,12167.53,12249.54,12019.90,12070.66,171965900,12070.66
2010-04-05,12190.83,12211.12,11975.94,12176.84,172800600,12176.84
2010-03-29,11999.47,12157.35,11957.37,12151.06,173962200,12151.06
